Country,Annual or cumulative,Scenario,Type of installation,Year,Gross offshore installations 2018-2022,Gross offshore installations 2018-2022 ,Real MW to show
Kosovo,Gross installations,central,offshore,2020,0,,0
Latvia,Gross installations,central,offshore,2020,0,,0
Lithuania,Gross installations,central,offshore,2020,0,,0
Luxembourg,Gross installations,central,offshore,2020,0,,0
Malta,Gross installations,central,offshore,2020,0,,0
Montenegro,Gross installations,central,offshore,2020,0,,0
Netherlands,Gross installations,central,offshore,2020,380,,380
Norway,Gross installations,central,offshore,2020,0,,0
Poland,Gross installations,central,offshore,2020,0,,0
Portugal,Gross installations,central,offshore,2020,0,,0
Romania,Gross installations,central,offshore,2020,0,,0
Russia,Gross installations,central,offshore,2020,0,,0
Serbia,Gross installations,central,offshore,2020,0,,0
Slovakia,Gross installations,central,offshore,2020,0,,0
Slovenia,Gross installations,central,offshore,2020,0,,0
Spain,Gross installations,central,offshore,2020,30,,30
Sweden,Gross installations,central,offshore,2020,3,,3
Switzerland,Gross installations,central,offshore,2020,0,,0
Turkey,Gross installations,central,offshore,2020,0,,0
UK,Gross installations,central,offshore,2020,1064,,1064
Ukraine,Gross installations,central,offshore,2020,0,,0
Albania,Gross installations,central,offshore,2021,0,,0
Bosnia and Herzegovina,Gross installations,central,offshore,2021,0,,0
Croatia,Gross installations,central,offshore,2021,0,,0
Cyprus,Gross installations,central,offshore,2021,0,,0
Czech Republic,Gross installations,central,offshore,2021,0,,0
Denmark,Gross installations,central,offshore,2021,400,,400
Estonia,Gross installations,central,offshore,2021,0,,0
FYROM,Gross installations,central,offshore,2021,0,,0
Finland,Gross installations,central,offshore,2021,0,,0
France,Gross installations,central,offshore,2021,700,,700
Germany,Gross installations,central,offshore,2021,500,,500
Greece,Gross installations,central,offshore,2021,0,,0
Hungary,Gross installations,central,offshore,2021,0,,0
Ireland,Gross installations,central,offshore,2021,30,,30
Italy,Gross installations,central,offshore,2021,0,,0
Kosovo,Gross installations,central,offshore,2021,0,,0
Latvia,Gross installations,central,offshore,2021,0,,0
Lithuania,Gross installations,central,offshore,2021,0,,0
Luxembourg,Gross installations,central,offshore,2021,0,,0
Malta,Gross installations,central,offshore,2021,0,,0
Montenegro,Gross installations,central,offshore,2021,0,,0
Netherlands,Gross installations,central,offshore,2021,300,,300
Norway,Gross installations,central,offshore,2021,0,,0
Poland,Gross installations,central,offshore,2021,0,,0
Portugal,Gross installations,central,offshore,2021,0,,0
Romania,Gross installations,central,offshore,2021,0,,0
Russia,Gross installations,central,offshore,2021,0,,0
