date,name,value
1/1/2009,Sweden,1560
1/1/2010,Austria,1011
1/1/2010,Belgium,911
1/1/2010,Bulgaria,375
1/1/2010,Croatia,89
1/1/2010,Czech Republic,215
1/1/2010,Denmark,3752
1/1/2010,Finland,197
1/1/2010,France,5660
1/1/2010,Germany,27180
1/1/2010,Greece,1208
1/1/2010,Hungary,295
1/1/2010,Ireland,1428
1/1/2010,Italy,5797
1/1/2010,Lithuania,163
1/1/2010,Netherlands,2245
1/1/2010,Poland,1107
1/1/2010,Portugal,3898
1/1/2010,Romania,462
1/1/2010,Spain,20676
1/1/2010,Sweden,2163
1/1/2011,Austria,1084
1/1/2011,Belgium,1078
1/1/2011,Bulgaria,612
1/1/2011,Croatia,131
1/1/2011,Czech Republic,217
1/1/2011,Denmark,3871
1/1/2011,Finland,197
1/1/2011,France,6800
1/1/2011,Germany,28770
1/1/2011,Greece,1629
1/1/2011,Hungary,329
1/1/2011,Ireland,1631
1/1/2011,Italy,6747
1/1/2011,Lithuania,179
1/1/2011,Netherlands,2328
1/1/2011,Poland,1616
1/1/2011,Portugal,4083
1/1/2011,Romania,982
1/1/2011,Spain,21674
1/1/2011,Sweden,2907
1/1/2012,Austria,1378
1/1/2012,Belgium,1375
1/1/2012,Bulgaria,674
1/1/2012,Croatia,180
1/1/2012,Czech Republic,260
1/1/2012,Denmark,4162
1/1/2012,Finland,288
1/1/2012,France,7196
1/1/2012,Germany,30830
1/1/2012,Greece,1749
1/1/2012,Hungary,329
1/1/2012,Ireland,1738
1/1/2012,Italy,8144
1/1/2012,Lithuania,225
1/1/2012,Netherlands,2391
1/1/2012,Poland,2497
1/1/2012,Portugal,4525
1/1/2012,Romania,1905
1/1/2012,Spain,22796
1/1/2012,Sweden,3745
1/1/2013,Austria,1684
1/1/2013,Belgium,1651
1/1/2013,Bulgaria,681
1/1/2013,Croatia,339
1/1/2013,Czech Republic,269
1/1/2013,Denmark,4772
1/1/2013,Finland,448
1/1/2013,France,8254
1/1/2013,Germany,33480
1/1/2013,Greece,1865
1/1/2013,Hungary,329
1/1/2013,Ireland,2037
1/1/2013,Italy,8551
1/1/2013,Lithuania,279
1/1/2013,Netherlands,2693
1/1/2013,Poland,3390
1/1/2013,Portugal,4724
1/1/2013,Romania,2599
1/1/2013,Spain,22959
1/1/2013,Sweden,4470
1/1/2014,Austria,2095
1/1/2014,Belgium,1959
1/1/2014,Bulgaria,691
1/1/2014,Croatia,347
1/1/2014,Czech Republic,281
1/1/2014,Denmark,4845
1/1/2014,Finland,627
1/1/2014,France,9285
1/1/2014,Germany,38610
1/1/2014,Greece,1980
1/1/2014,Hungary,329
1/1/2014,Ireland,2272
1/1/2014,Italy,8663
1/1/2014,Lithuania,279
1/1/2014,Netherlands,2805
1/1/2014,Poland,3834
1/1/2014,Portugal,4914
1/1/2014,Romania,2954
1/1/2014,Spain,22986
1/1/2014,Sweden,5425
1/1/2015,Austria,2404
1/1/2015,Belgium,2169
1/1/2015,Bulgaria,691
1/1/2015,Croatia,462
1/1/2015,Czech Republic,281
1/1/2015,Denmark,5075
1/1/2015,Finland,1005
1/1/2015,France,10324
1/1/2015,Germany,44580
1/1/2015,Greece,2136
1/1/2015,Hungary,329
1/1/2015,Ireland,2440
1/1/2015,Italy,8973
1/1/2015,Lithuania,421
1/1/2015,Netherlands,3391
1/1/2015,Poland,5100
1/1/2015,Portugal,5034
1/1/2015,Romania,2976
1/1/2015,Spain,22987
1/1/2015,Sweden,6029
1/1/2016,Austria,2632
1/1/2016,Belgium,2400
1/1/2016,Bulgaria,691
1/1/2016,Croatia,466
1/1/2016,Czech Republic,281
1/1/2016,Denmark,5242
1/1/2016,Finland,1533
1/1/2016,France,11670
1/1/2016,Germany,49430
1/1/2016,Greece,2374
1/1/2016,Hungary,329
1/1/2016,Ireland,2765
1/1/2016,Italy,9255
1/1/2016,Lithuania,421
1/1/2016,Netherlands,4180
1/1/2016,Poland,5782
1/1/2016,Portugal,5269
1/1/2016,Romania,3028
1/1/2016,Spain,23026
1/1/2016,Sweden,6519
1/1/2017,Austria,2828
1/1/2017,Belgium,2843
1/1/2017,Bulgaria,691
1/1/2017,Croatia,583
1/1/2017,Czech Republic,308
1/1/2017,Denmark,5476
1/1/2017,Finland,2113
1/1/2017,France,13759
1/1/2017,Germany,55580
1/1/2017,Greece,2651
1/1/2017,Hungary,329
1/1/2017,Ireland,3127
1/1/2017,Italy,9479
1/1/2017,Lithuania,421
1/1/2017,Netherlands,4341
1/1/2017,Poland,6397
1/1/2017,Portugal,5316
1/1/2017,Romania,3029
1/1/2017,Spain,23170
1/1/2017,Sweden,6691
1/1/2018,Austria,3045
1/1/2018,Belgium,3360
1/1/2018,Bulgaria,691
1/1/2018,Croatia,583
1/1/2018,Czech Republic,317
1/1/2018,Denmark,5758
1/1/2018,Finland,2041
1/1/2018,France,15309
1/1/2018,Germany,58850
1/1/2018,Greece,2844
1/1/2018,Hungary,329
1/1/2018,Ireland,3564
1/1/2018,Italy,9958
1/1/2018,Lithuania,439
1/1/2018,Netherlands,4471
1/1/2018,Poland,5864
1/1/2018,Portugal,5380
1/1/2018,Romania,3029
1/1/2018,Spain,23494
1/1/2018,Sweden,7407
1/1/2019,Austria,3159
1/1/2019,Belgium,3879
1/1/2019,Bulgaria,691
1/1/2019,Croatia,652
1/1/2019,Czech Republic,337
1/1/2019,Denmark,6128
1/1/2019,Finland,2284
1/1/2019,France,16646
1/1/2019,Germany,60720
1/1/2019,Greece,3576
1/1/2019,Hungary,329
1/1/2019,Ireland,4155
1/1/2019,Italy,10512
1/1/2019,Lithuania,548
1/1/2019,Netherlands,4600
1/1/2019,Poland,5917
1/1/2019,Portugal,5437
