year,source,energy
2018,conventional hydroelectric,292524
2018,wind,272668
2018,geothermal,15968
2018,biomass,61831
2018,solar,93363
2019,conventional hydroelectric,287875
2019,wind,295882
2019,geothermal,15473
2019,biomass,57505
2019,solar,106895
2020,conventional hydroelectric,285274
2020,wind,337937
2020,geothermal,15890
2020,biomass,54703
2020,solar,130720
